locus_tag,gene_name
sll0416,groEL-2
sll1733,ndhD3
slr0212,metH
slr1857,glgX2
ssl3044,ssl3044
sll0218,sll0218
sll0219,sll0219
sll0846,sll0846
sll0522,ndhE
slr1545,sigG
slr2076,groEL1
slr1915,slr1915
sll1454,narB
sll1514,hspA
slr0993,nlpD
slr1752,slr1752
sll1734,cupA
slr1855,slr1855
slr1676,slr1676
sll1823,purA
slr1675,hypA1
sll1434,mrcA
sll0603,menD
slr0236,slr0236
sll1735,sll1735
slr0228_3'UTR,ftsH2
sll1507,sll1507
sll0370,pyrA
slr0474,rcp1
slr0044,cmpD
sll1265,sll1265
sll0043,pixL;  taxAY1;  hik18
sll1296,hik39
sll1362,ileS
sll1799,rpl3
slr1674,slr1674
sll0736,sll0736
sll0528,sll0528
slr1603,slr1603
slr1641,clpB1
sll0385,sll0385
sll1450,nrtA
sll2005,gyrB
slr1424,slr1424
slr0121,slr0121
sll1882,sll1882
sll0044,sll0044
sll0520,ndhI
sll1499,glsF
sll1933,dnaJ2
slr2003,slr2003
sll1285,sll1285
sll1482,sll1482
slr1276,pilO
slr1501,slr1501
sll1789,rpoC2
slr1423,murC
sll2009,sll2009
slr2075,groES
ssr0336,ssr0336
slr0974,infC
slr1509,ktrB;  ntpJ
sll0430,htpG
sll1294,pilJ
sll1582,sll1582
slr2089,shc
sll1746,rpl12
sll1803,rpl22
ssl3437,rps17
slr1963,slr1963
slr1269,ggt
sll1804,rps3
slr0335,apcE
sll1531,sll1531
slr0758,kaiC1
slr0106,slr0106
ncl1130,ncl1130
sll1575,spkA
sll1586,sll1586
slr0074,ycf24
sll1809,rps8
slr1275,pilN
sll1022,sll1022
sll0535,clpX
sll0221,bcp
sll0375,sll0375
slr0168,slr0168
slr0616,slr0616
sll0521,ndhG
slr1854,slr1854
sll1453,nrtD
slr0323,ams1
slr1105_5'UTR,fus
sll0163,sll0163
slr1391,slr1391
sll0217,sll0217
sll0916,cobH
sll1801,rpl23
slr1201,slr1201
slr1227,IAP75
sll0158,glgB
slr0656,slr0656
slr1285,hik34
slr0806,slr0806
sll0839,sll0839
slr0659,prlC
slr0261,ndhH
slr1048,slr1048
slr0156,clpB2
sll1522,pgsA
slr1240,slr1240
sll1514_5'UTR,hspA
sll0160,sll0160
slr0604-as2,slr0604-as2
sll1106,sll1106
slr1566,slr1566
slr0554,slr0554
sll0142,sll0142
slr0143,hat
sll0306,sigB
slr2010,slr2010
sll0023,sll0023
sll0267,sll0267
slr0077,nifS
slr0043,cmpC
sll1291,taxP2
slr0646,dacB
sll1757,sll1757
slr1661,slr1661
sll1471,cpcG2
sll1253,pcnB
sll0448,sll0448
sll1787,rpoB
ncl0380,ncl0380
slr0324,slr0324
slr2075_5'UTR,groES
sll1299,ackA
slr0373,slr0373
slr0213,guaA
sll0863,sll0863
sll0063,sll0063
sll0088,sll0088
ssl3436,rpl29
ssl1426,rpl35
slr0243,slr0243
sll0288,minC
sll0002,ponA
slr1287,slr1287
sll1188,sll1188
slr1164,nrdA
ssl3432,rps19
slr5005,slr5005
slr0387,nifS
sll1745,rpl10
ncr0860,ncr0860
sll1909,prmA
sll1502,gltB
sll1732,ndhF3
ssl2559,ssl2559
slr0923,ycf65
sll1327,atpC
slr1055,chlH
sll1808,rpl5
sll1797,ycf21
slr0064,slr0064
sll1333,sll1333
sll0573,arcC
sll1816,rps13
slr0603,dnaE
ssl1263-as,ssl1263-as
sll0817,miaA
sll0446,sll0446
ssl0900,ssl0900
slr0965,dnaN
slr1218,ycf39
slr1721,slr1721
slr1710,mrcB
ncr1397,ncr1397
sll0380,rfbW
slr1861,slr1861
slr1860,icfG
ssr0335,ssr0335
sll1516,sll1516
slr1125,crtX
sll1032,ccmN
sll1097,rps7
sll0838,pyrF
slr1856,slr1856
sll0024,sll0024
sll1807,rpl24
sll0462,sll0462
sll1806,rpl14
slr1379,cydA
sll0170,dnaK2
slr0358,slr0358
sll0027,ndhD4
ssr1399,rps18
slr2058,topA
slr1980,slr1980
slr1211,cobN
sll1271,sll1271
slr1634,slr1634
sll1530,sll1530
slr0990,slr0990
sll0320,rnd
sll0042,pixJ2;  pisJ2
slr1028,slr1028
slr1790,slr1790
sll0572,sll0572
slr1189,slr1189
sll1664,sll1664
slr1263,slr1263
slr2052_5'UTR,slr2052
sll0060,sll0060
sll0503,sll0503
sll1905,hik19
sll0704,nifS
sll1464,sll1464
slr1550,lysS
sll0482,sll0482
slr1160,slr1160
sll1527,sll1527
sll1819,rpl17
sll0456,sll0456
sll1884,sll1884
sll0855,sll0855
slr0551,slr0551
slr1110,slr1110
ssr2047,ssr2047
sll1226,hoxH
sll1091,chlP
slr1512,sbtA
sll1961,sll1961
slr1746,murI
sll1772,mutS
slr1239,pntA
slr2083,ctaEII
sll1143,pcrA
sll1852,ndkR
slr1311,psbA2
ssl0350,ssl0350
ssl3364,cp12
ssl2162,ssl2162
slr2060,slr2060
sll1120,sll1120
sll1222,sll1222
ncl0850,ncl0850
slr0374,slr0374
slr1925,cobD
slr0723,slr0723
slr0079,pilB2
sll1258,sll1258
sll0371,sll0371
slr7026,slr7026
sll1534,sll1534
slr0655,slr0655
slr1197,slr1197
slr0513,slr0513
slr1081,slr1081
slr1267,ftsW
slr1916,slr1916
sll1818,rpoA
